
,Cigar House,393 S. California Avenue,,Palo Alto,CA,94306,650-328-8400,,,936150001,,0
,Key West Cigar Club,335 F Duval  Street,,Key West ,FL,33040,305-517-6741,,,936170001,,0
,Smoker's Haven ,665 Newman Springs Road,,Lincroft,NJ,7738,732-758-8126,,,935140004,,0
,Smokes (Cigarette Outlet),2040 S Main Street,,West Bend,WI,53095,262-338-6662,,,933710001,,0
,Speedy Stop #14,8391 College,,Beaumont,TX,77707,409-866-1445,,,934870001,,0
,Speedy Stop #18,1055 I-10 South,,Beaumont,TX,77701,409-832-5700,,,934870001,,0
,Speedy Stop #210,6111 Bee Caves,,Austin,TX,78746,512-328-6541,,,934870001,,0
,Speedy Stop #25,28015 Southwest Frwy,,Rosenberg,TX,77471,281-239-7205,,,934870001,,0
,Speedy Stop #304,18555 Tomball Parkway,,Houston,TX,77070,281-970-0662,,,934870001,,0
,Speedy Stop #43,2480 South Hwy 35 Bypass,,Alvin,TX,77511,281-585-0009,,,934870001,,0
,Speedy Stop #44,5700 New Territory Blvd.,,Sugarland,TX,77479,281-491-7900,,,934870001,,0
,Speedy Stop #47,12702 N.W. Military Dr.,,San Antonio,TX,78230,210-492-6416,,,934870001,,0
,Speedy Stop #48,26950 Hwy 281 N.,,San Antonio,TX,78260,830-980-9596,,,934870001,,0
,Speedy Stop #72,7110 Eastex Freeway,,Beaumont,TX,77708,409-347-0778,,,934870001,,0
,Speedy Stop #86,2998 IH 45 North,,Conroe,TX,77303,936-788-2290,,,934870001,,0
,Speedy Stop #87,2500 N Loop 336 W,,Conroe,TX,77303,936-788-1021,,,934870001,,0
,The News Room,168 7th Avenue,,Brooklyn,NY,11215,718-499-3630,,,936160001,,0
,Tinder Box #261,3301 Veterans Blvd.,,Metairie,LA,70002,504-834-5801,,,936190001,,0
,Jake's Cigars & Spirits,6206 Maple Street,,Omaha,NE,68104,402-934-9633,,,936200001,,0
,Tabacchi,8951 W. Sunset Blvd.,,West Hollywood,CA,90069,310-550-7505,,,936220001,,0
,Gitty Up & Go #4 - Florala,1078 3rd Street,,Florala,AL,36442,334-858-5095,,,930040001,,0
,Freedom Fuels  - Phenix City,3815 Opelika Rd,,Phenix City,AL,36870,334-297-9648,,,930040001,,0
,Discount Tobacco Outlet #202 - Daphne,6845 US Hwy 90 Suite 110,,Daphne ,AL,36526,251-626-5226,,,930040001,,0
,Creek Smoke Shop - Atmore,116 Poarch Rd,,Atmore,AL,36504,251-446-8801,,,930040001,,0
,Discount Tobacco Outlet #121 - Enterprise,1209 Rucker Blvd,,Enterprise,AL,36330,334-347-1104,,,930040001,,0
,Triple B Convenience Store #2 - Robertsdale,22197 County Rd 87,,Robertsdale,AL,36567,251-942-1900,,,930040001,,0
,The Back Porch Grill & Tavern,210 N. Main Street,,Grapevine,TX,76051,817-251-8434,,,296500001,,1
,Mint Lounge,50 South 2nd. St.,,Philadelphia,PA,19176,215-829-1128,,,697900001,,1
,Andys Diner & Pub,505 West Ridge Pike,,Conshohocken,PA,19428,610-940-1444,,,697900001,,1
,Country Liquor,"625 Old Mammoth Road, SPC #7",,Mammoth Lakes,CA,93546,760-934-3033,,,936260001,,0
,Beaver Creek Fine Wines,"196 Gore Creek Drive, #164",,Vail,CO,81657,970-748-9055,,,936270001,,0
,Cumberland Farms,68 Main St,,Westminster,MA,1473,978-874-0738,,,178200001,,0
,Cumberland Farms,64 Park St,,Ayer,MA,1432,978-772-5128,,,178200001,,0
,Cumberland Farms,1128 Oakhill Ave,,Attleboro,MA,2703,508-431-2027,,,178200001,,0
,Cumberland Farms,Hwy 110 High St Ext,,Lancaster,MA,1523,978-365-6229,,,178200001,,0
,Cumberland Farms,150 Commonwealth,,N Attleboro,MA,2763,508-643-3148,,,178200001,,0
,Cumberland Farms,1289 Main St,,Leominster,MA,1453,978-345-4391,,,178200001,,0
,Cumberland Farms,1455 Fall River Ave,,Seekonk,MA,2771,508-336-4801,,,178200001,,0
,Cumberland Farms,560 Main St,,Medfield,MA,2052,508-359-6991,,,178200001,,0
,Cumberland Farms,220 Pleasant St,,Attleboro,MA,2703,508-223-3369,,,178200001,,0
,Cumberland Farms,433 S Main St,,Sharon,MA,2067,781-793-0112,,,178200001,,0
,Cumberland Farms,100 Shank Painter Rd,,Provincetown,MA,2657,508-487-3217,,,178200001,,0
,Cumberland Farms,169 Main St,,Wareham,MA,2571,508-295-9846,,,178200001,,0
,Cumberland Farms,626 Route 28,,West Yarmouth,MA,2673,508-771-6183,,,178200001,,0
,Cumberland Farms,16 W Bay Rd,,Osterville,MA,2655,508-420-8168,,,178200001,,0
,Cumberland Farms,2360 Cranberry Hwy,,West Wareham,MA,2576,508-273-0038,,,178200001,,0
,Cumberland Farms,809 Main Rd,,Westport,MA,2790,508-636-3965,,,178200001,,0
,Cumberland Farms,87 East Grove St,,Middleboro,MA,2346,508-923-0325,,,178200001,,0
,Cumberland Farms,154 Samoset St,,Plymouth,MA,2360,508-830-1479,,,178200001,,0
,Cumberland Farms,435 Shore Rd,,Monument Beach,MA,2553,508-743-9314,,,178200001,,0
,Cumberland Farms,122 State Rd,,N Dartmouth,MA,2747,508-997-6431,,,178200001,,0
,Cumberland Farms,33 Main St,,Bridgewater,MA,2324,508-279-1439,,,178200001,,0
,Cumberland Farms,389 Awawan St,,Rehoboth,MA,2769,508-252-5641,,,178200001,,0
,Cumberland Farms,540 Dartmouth St,,Dartmouth,MA,2748,508-992-7503,,,178200001,,0
,Cumberland Farms,292 Plymouth St,,Halifax,MA,2338,781-294-7235,,,178200001,,0
,Cumberland Farms,413 Wareham Rd,,Marion,MA,2738,508-748-2382,,,178200001,,0
,Cumberland Farms,143 Bedford St,,E Bridgewater,MA,2333,508-378-1329,,,178200001,,0
,Cumberland Farms,137 Center St,,Pembroke,MA,2359,781-293-5426,,,178200001,,0
,Cumberland Farms,660 Pleasant St,,Brockton,MA,2301,508-580-0185,,,178200001,,0
,Cumberland Farms,377 Nantasket St,,Hull,MA,2045,781-925-9909,,,178200001,,0
,Cumberland Farms,295 Salem St,,Reading,MA,1867,781-944-2263,,,178200001,,0
,Cumberland Farms,20 Main St,,Topsfield,MA,1983,978-887-7036,,,178200001,,0
,Cumberland Farms,805 Nantasket St,,Hull,MA,2045,781-925-4618,,,178200001,,0
,Cumberland Farms,48 Revere St,,Winthrop,MA,2152,617-846-6189,,,178200001,,0
,Cumberland Farms,499 Washington St,,Stoughton,MA,2072,781-341-2065,,,178200001,,0
,Cumberland Farms,5 Liberty Square,,Weymouth,MA,2190,781-335-6876,,,178200001,,0
,Cumberland Farms,628 East 5th St,,South Boston,MA,2127,617-268-0728,,,178200001,,0
,Cumberland Farms,120 Thoreau St,,Concord,MA,1742,978-287-5778,,,178200001,,0
,Cumberland Farms,831 Washington St,,Braintree,MA,2184,781-356-4336,,,178200001,,0
,Cumberland Farms,188 Littleton Rd,,Westford,MA,1886,978-692-3091,,,178200001,,0
,Cumberland Farms,68 Main St,,Ashburnham,MA,1430,978-827-1349,,,178200001,,0
,Cumberland Farms,132 Elm St,,Amesbury,MA,1913,978-834-0524,,,178200001,,0
,Cumberland Farms,121 Main St,,East Pepperell,MA,1463,978-433-8924,,,178200001,,0
,Cumberland Farms,9 Railroad Ave,,Rockport,MA,1966,978-546-9180,,,178200001,,0
,Cumberland Farms,241 Main St / Rt 110,,Amesbury,MA,1913,978-834-0584,,,178200001,,0
,Cumberland Farms,54 Acton St,,Maynard,MA,1754,978-461-0069,,,178200001,,0
,Cumberland Farms,163 Patriot Rd,,East Templeton,MA,1438,978-632-5037,,,178200001,,0
,Cumberland Farms,4 S Main St,,Middleton,MA,1949,978-774-8600,,,178200001,,0
,Cumberland Farms,205 Main St,,Wilmington,MA,1887,978-658-0275,,,178200001,,0
,Cumberland Farms,E MM 80 Mass Tpke,,Charlton,MA,1507,508-548-4735,,,178200001,,0
,Cumberland Farms,E MM 80 Mass Tpke,,Charlton,MA,1507,508-248-3308,,,178200001,,0
,Cumberland Farms,MM 116 Mass Pike W,,Framingham,MA,1701,508-877-8807,,,178200001,,0
